id,name,category,description,mood,duration_min,who_with,address,lat,lon,url,image_path
1,クロスベイ新湊,道の駅,海王丸パークに隣接する道の駅。新鮮な魚介類や地元野菜、特産品が豊富です。2階には展望レストランもあります。,"のんびり,買い物,美味しいもの",60,"一人で,家族と,友人と",富山県射水市海王町1番地,36.7865,137.0987,https://crossbay-shinminato.jp/,images/crossbay.jpg
2,海王丸パーク,公園・観光,「海の貴婦人」と呼ばれる帆船・海王丸が停泊する広大な公園。芝生広場や展望台、ミニSLなどがあり、家族連れにも人気です。,"のんびり,景色,体を動かす",90,"一人で,家族と,友人と",富山県射水市海王町2番地,36.7850,137.0990,https://www.kaiwomaru.jp/,images/kaiwomaru.jpg
3,新湊きっときと市場,市場・飲食店,富山湾の新鮮な海の幸が集まる市場。活気あふれる店内で、獲れたての魚介類を購入したり、食事処で海鮮丼などを味わえます。,"美味しいもの,買い物",60,"一人で,家族と,友人と",富山県射水市海竜町1番地,36.7870,137.0950,https://kittokito-ichiba.jp/,images/kittokito.jpg
4,内川周辺（日本のベネチア）,観光地・散策,風情ある漁港の景色が楽しめる内川。運河沿いに並ぶ個性的な橋や古い街並みが、「日本のベネチア」と称されます。映画のロケ地にも。,"のんびり,散策,景色",120,"一人で,カップルで,友人と",富山県射水市新湊中央町,36.7830,137.0930,,images/uchikawa.jpg
5,足洗潟公園,公園,広々とした芝生広場や遊具、池がある市民公園。桜の名所としても知られ、春には多くの花見客で賑わいます。散歩やピクニックに最適です。,"のんびり,体を動かす,景色",120,"一人で,家族と,友人と",富山県射水市黒河4785,36.7450,137.0800,,images/ashiaraigatapark.jpg
6,太閤山ランド,公園・レジャー,東京ドーム20個分という広大な敷地を持つ総合公園。プール、サイクリング、ボート、バーベキューなど、多様なレジャーが楽しめます。,"体を動かす,アクティブ",180,"家族と,友人と",富山県射水市平野3842,36.7200,137.1200,https://www.toyamap.or.jp/taikoyama/,images/taikoyamalando.jpg
7,小杉駅周辺商店街,商店街・買い物,昔ながらの面影を残しつつ、新しいお店も増えている商店街。地元の商店や飲食店が並び、散策するだけでも楽しめます。,"買い物,散策,美味しいもの",60,"一人で,友人と",富山県射水市戸破,36.7300,137.1000,,images/kosugi_shotengai.jpg
8,放生津八幡宮,神社・歴史,新湊地区の総鎮守。曳山まつりで有名な神社であり、歴史ある建築物や厳かな雰囲気が魅力です。パワースポットとしても人気です。,"歴史,のんびり",45,"一人で,友人と",富山県射水市八幡町1-1,36.7810,137.0850,,images/hottsu_hachimangu.jpg
9,竹内源造記念館,文化施設・歴史,明治・大正期の実業家・竹内源造の生家を改修した記念館。射水市の歴史や文化に触れることができます。,"歴史,のんびり",60,"一人で,友人と",富山県射水市三日曽根2736,36.7350,137.1030,,images/takeuchi_genzo.jpg
10,Cafe & Dining COZY,飲食店,落ち着いた雰囲気で食事やカフェが楽しめるお店。ランチやディナー、デザートまで幅広く提供しています。,"美味しいもの,のんびり",90,"一人で,カップルで,友人と",富山県射水市戸破2777,36.7310,137.0995,,images/cozy_cafe.jpg
11,小杉文化ホール（ラポール）,文化施設,コンサートや演劇、講演会など様々なイベントが開催される文化施設。イベントがなくても、ロビーで休憩したりできます。,"のんびり,文化",60,"一人で,友人と",富山県射水市戸破1500,36.7305,137.1010,,images/rapport.jpg
12,高岡大仏（番外編）,観光地・歴史,日本三大仏の一つに数えられる高岡大仏。小杉町から少し足を延ばして訪れる価値ありのスポットです。重厚な雰囲気があります。,"歴史,景色",60,"一人で,家族と,友人と",富山県高岡市大手町11-29,36.7458,137.0097,https://www.takaoka-daibutsu.or.jp/,images/takaoka_daibutsu.jpg
13,射水市役所,公共施設,市民サービスを提供する庁舎。近代的な建物で、市民向けのイベント情報なども掲示されています。,"のんびり,買い物",30,"一人で",富山県射水市本町2-10-1,36.7820,137.0890,,images/imizu_cityhall.jpg
14,いみず野広場,公園,地域のイベントや祭りが開催される広々としたスペース。普段は子供たちが遊んだり、散歩したりするのに使われます。,"体を動かす,のんびり",60,"家族と,友人と",富山県射水市戸破3000,36.7325,137.0950,,images/imizu_hiroba.jpg
15,富山県立大学,教育機関・景色,富山県を代表する大学の一つ。広大なキャンパスには自然も多く、学生食堂や図書館なども利用できる場合があります（要確認）。紅葉シーズンは特に美しいです。,"景色,のんびり,散策",90,"一人で,友人と",富山県射水市黒河5180,36.7400,137.0850,,images/toyama_pref_univ.jpg
16,カターレ富山練習グラウンド,スポーツ施設,Jリーグ「カターレ富山」が練習を行うグラウンド。運が良ければ選手の練習風景を見学できるかもしれません。,"アクティブ,体を動かす",45,"一人で,友人と",富山県射水市黒河5227-1,36.7420,137.0780,,images/katale_practice.jpg
17,道の駅 万葉の里高岡（番外編）,道の駅,高岡市にある道の駅で、新鮮な地元野菜や特産品が豊富。レストランも併設されており、高岡の食文化に触れられます。小杉からも比較的アクセスしやすいです。,"美味しいもの,買い物",60,"一人で,家族と,友人と",富山県高岡市蜂ケ島131-1,36.7405,136.9800,https://www.manyo-sato.com/,images/manyo_sato.jpg
18,二上山公園（番外編）,公園・景色,高岡市と射水市にまたがる山頂にある公園。高岡市街地や富山湾、立山連峰を一望できる展望台があり、夜景も素晴らしいです。ドライブにも最適。,"景色,のんびり",90,"一人で,カップルで,友人と",富山県高岡市二上,36.7750,137.0300,,images/futagamiyama.jpg
19,麺家いろは クロスベイ店,飲食店,富山ブラックラーメンで有名な「麺家いろは」のクロスベイ新湊店。濃厚な醤油スープと太麺が特徴で、地元の人にも観光客にも人気です。,"美味しいもの",45,"一人で,家族と,友人と",富山県射水市海王町1番地（クロスベイ新湊内）,36.7865,137.0988,https://www.menya-iroha.com/,images/iroha_crossbay.jpg
20,アルビス 小杉店,買い物・スーパー,地元の食材から日用品まで揃う大型スーパーマーケット。旅行中の食材調達や、お土産探しにも便利です。,"買い物",30,"一人で,家族と",富山県射水市戸破1956,36.7280,137.1020,,images/albis_kosugi.jpg